종류	메뉴명	사원명	결제수량	총결제금액	결제일	
한식	돌솥비빔밥	강해준	1	4500	2016-10-03 07:55:31	
한식	김치	강해준	1	1000	2016-10-03 07:55:31	
한식	된장찌개	김동식	2	9000	2016-10-03 07:56:04	
한식	매콤육개장	김동식	2	8000	2016-10-03 07:56:04	
한식	고등어구이	김부련	1	4000	2016-10-03 07:56:26	
한식	불고기	김부련	1	5500	2016-10-03 07:56:26	
한식	돌솥비빔밥	김부련	1	4500	2016-10-03 07:56:26	
한식	공기밥	안영이	1	1000	2016-10-03 07:57:26	
한식	고기만두	안영이	1	4000	2016-10-03 07:57:26	
한식	계란찜	안영이	1	3500	2016-10-03 07:57:26	
한식	갈비탕	오상식	1	6000	2016-10-03 07:58:52	
한식	김치	오상식	1	1000	2016-10-03 07:58:52	
양식	돈까스	마복렬	1	5500	2016-10-03 07:59:19	
양식	불고기피자	마복렬	1	7000	2016-10-03 07:59:19	
양식	안심스테이크	마복렬	1	9000	2016-10-03 07:59:19	
양식	치즈스파게티	마복렬	1	9000	2016-10-03 07:59:19	
일식	장어구이정식	유형기	1	6000	2016-10-03 07:59:42	
일식	라멘	유형기	1	5000	2016-10-03 07:59:42	
중식	쟁반짬뽕	최영후	2	10000	2016-10-03 08:00:08	
한식	공기밥	고동호	1	1000	2016-10-03 12:26:56	
한식	불고기	고동호	1	5500	2016-10-03 12:26:56	
한식	김치	고동호	1	1000	2016-10-03 12:26:56	
중식	쟁반짬뽕	선지영	2	10000	2016-10-03 12:27:54	
중식	해물볶음밥	선지영	1	7000	2016-10-03 12:27:54	
양식	불고기피자	마복렬	5	35000	2016-10-03 12:28:19	
양식	간장치킨	마복렬	1	8000	2016-10-03 12:28:19	
일식	도미구이정식	장그래	2	11000	2016-10-03 12:28:41	
일식	라멘	장그래	1	5000	2016-10-03 12:28:41	
중식	팔보채	강해준	2	11000	2016-10-03 12:28:48	
한식	공기밥	오상식	1	1000	2016-10-03 12:49:14	
한식	계란찜	오상식	1	3500	2016-10-03 12:49:14	
한식	고등어구이	오상식	1	4000	2016-10-03 12:49:14	
한식	부대찌개	고동호	1	4500	2016-10-03 17:50:22	
한식	즉석떡볶이	고동호	1	3000	2016-10-03 17:50:22	
한식	설렁탕	고동호	1	5000	2016-10-03 17:50:22	
중식	새우튀김	성준식	2	9000	2016-10-03 17:50:37	
중식	라조육	성준식	1	7000	2016-10-03 17:50:37	
중식	팔보채	성준식	2	11000	2016-10-03 17:50:37	
양식	프라이드치킨	하성준	2	15000	2016-10-03 17:50:50	
한식	부대찌개	정희석	1	4500	2016-10-03 17:51:09	
한식	돼지고기두루치기	정희석	1	5000	2016-10-03 17:51:09	
양식	치킨까스	신다인	1	6000	2016-10-03 17:51:26	
중식	자장면	장백기	1	5000	2016-10-03 17:51:45	
한식	순두부찌개	박용구	1	6000	2016-10-03 17:52:26	
한식	김밥	박용구	1	3000	2016-10-03 17:52:26	
일식	라멘	박종식	1	5000	2016-10-03 17:52:48	
일식	새우튀김정식	박종식	1	6000	2016-10-03 17:52:48	
일식	회덮밥	박종식	1	5000	2016-10-03 17:52:48	
일식	모듬초밥	박종식	1	5500	2016-10-03 17:52:48	
일식	장어구이정식	박종식	1	6000	2016-10-03 17:52:48	
한식	즉석떡볶이	강해준	2	6000	2022-09-25 07:24:28	
한식	갈비탕	강해준	5	30000	2022-09-25 07:24:28	
중식	마파두부	강해준	2	10000	2022-09-26 02:49:10	
중식	해물볶음밥	강해준	2	14000	2022-09-26 02:49:38	
중식	마파두부	강해준	4	20000	2022-09-26 02:49:38	
한식	산채비빔밥	강해준	2	11000	2022-09-26 02:57:07	
한식	제육볶음	강해준	1	4500	2022-09-26 02:57:07	
일식	새우튀김정식	강해준	2	12000	2022-09-26 02:57:40	
중식	자장면	강해준	2	10000	2022-09-26 03:00:09	
양식	까르보나라	강해준	1	10000	2022-09-26 03:28:49	
중식	팔보채	강해준	2	11000	2022-09-26 03:31:00	
중식	해물볶음밥	강해준	2	14000	2022-09-26 03:46:50	
중식	해물볶음밥	강해준	1	7000	2022-09-26 03:47:10	
중식	마파두부	강해준	2	10000	2022-09-26 03:47:50	
중식	마파두부	강해준	2	10000	2022-09-26 03:49:12	
중식	마파두부	강해준	2	10000	2022-09-26 03:54:36	
중식	마파두부	강해준	1	5000	2022-09-26 03:55:19	
양식	간장치킨	강해준	2	16000	2022-09-26 03:56:38	
중식	잡채밥	강해준	2	11000	2022-09-26 04:01:07	
양식	간장치킨	강해준	2	16000	2022-09-26 04:07:43	
중식	팔보채	강해준	1	5500	2022-09-26 04:08:38	
중식	해물볶음밥	강해준	2	14000	2022-09-26 04:10:58	
중식	팔보채	강해준	2	11000	2022-09-26 04:13:43	
중식	해물볶음밥	강해준	2	14000	2022-09-26 04:15:26	
양식	안심스테이크	강해준	2	18000	2022-09-26 04:17:00	
양식	간장치킨	강해준	2	16000	2022-09-26 04:19:24	
중식	짬뽕밥	강해준	2	11000	2022-09-26 04:20:43	
중식	자장면	강해준	2	10000	2022-09-26 04:28:07	
중식	짬뽕밥	강해준	2	11000	2022-09-26 04:28:27	
중식	잡채밥	강해준	2	11000	2022-09-26 04:29:24	
중식	짬뽕밥	강해준	2	11000	2022-09-26 04:29:51	
중식	짬뽕밥	강해준	2	11000	2022-09-26 04:30:06	
중식	쟁반짬뽕	강해준	1	5000	2022-09-26 04:30:26	
중식	잡채밥	강해준	1	5500	2022-09-26 04:30:54	
한식	산채비빔밥	강해준	2	11000	2022-09-26 04:31:13	
중식	잡채밥	강해준	2	11000	2022-09-26 04:31:37	
중식	자장면	강해준	2	10000	2022-09-26 04:34:18	
중식	마파두부	강해준	2	10000	2022-09-26 04:53:15	
한식	갈비탕	강해준	1	6000	2022-09-26 04:53:43	
일식	도미조림정식	강해준	2	12000	2022-09-26 04:54:19	
한식	돌솥비빔밥	강해준	1	4500	2022-09-26 04:55:10	
한식	매콤육개장	강해준	1	4000	2022-09-26 04:55:53	
중식	짬뽕밥	강해준	1	5500	2022-09-26 04:56:23	
한식	열무김치	강해준	1	1000	2022-09-26 04:56:43	
중식	쟁반짬뽕	강해준	1	5000	2022-09-26 04:57:50	
한식	돌솥비빔밥	강해준	1	4500	2022-09-26 04:58:13	
중식	짬뽕밥	강해준	1	5500	2022-09-26 04:58:32	
중식	마파두부	강해준	2	10000	2022-09-26 04:58:53	
중식	잡채밥	강해준	1	5500	2022-09-26 04:59:22	
중식	해물볶음밥	강해준	2	14000	2022-09-26 04:59:40	
중식	잡채밥	강해준	2	11000	2022-09-26 05:00:31	
한식	갈비탕	강해준	2	12000	2022-09-26 05:01:00	
중식	잡채밥	강해준	2	11000	2022-09-26 05:01:59	
중식	잡채밥	강해준	2	11000	2022-09-26 05:02:38	
한식	열무김치	강해준	2	2000	2022-09-26 05:02:53	
중식	짬뽕밥	강해준	2	11000	2022-09-26 05:03:30	
중식	자장면	강해준	2	10000	2022-09-26 05:04:00	
한식	돌솥비빔밥	강해준	2	9000	2022-09-26 05:04:24	
한식	돌솥비빔밥	강해준	2	9000	2022-09-26 05:04:52	
한식	매콤육개장	강해준	2	8000	2022-09-26 05:06:02	
중식	잡채밥	강해준	2	11000	2022-09-26 05:06:41	
한식	돌솥비빔밥	강해준	2	9000	2022-09-26 05:07:05	
중식	자장면	강해준	2	10000	2022-09-26 05:07:31	
중식	팔보채	강해준	2	11000	2022-09-26 05:07:47	
한식	돌솥비빔밥	강해준	2	9000	2022-09-26 05:08:13	
한식	돌솥비빔밥	강해준	2	9000	2022-09-26 05:08:38	
중식	쟁반짬뽕	강해준	2	10000	2022-09-26 05:09:20	
중식	잡채밥	강해준	2	11000	2022-09-26 05:10:51	
한식	순두부찌개	강해준	2	12000	2022-09-26 05:11:53	
중식	자장면	강해준	2	10000	2022-09-26 05:14:06	
중식	쟁반짬뽕	강해준	2	10000	2022-09-26 05:14:32	
중식	자장면	강해준	2	10000	2022-09-26 05:17:55	
한식	매콤육개장	강해준	2	8000	2022-09-26 05:20:35	
중식	잡채밥	강해준	2	11000	2022-09-26 05:21:53	
중식	짬뽕밥	강해준	2	11000	2022-09-26 05:24:21	
중식	자장면	강해준	2	10000	2022-09-26 05:25:59	
한식	돌솥비빔밥	강해준	2	9000	2022-09-26 05:26:23	
중식	짬뽕밥	강해준	2	11000	2022-09-26 05:26:42	
한식	매콤육개장	강해준	2	8000	2022-09-26 05:27:09	
중식	잡채밥	강해준	2	11000	2022-09-26 05:27:57	
중식	자장면	강해준	2	10000	2022-09-26 05:28:38	
한식	순두부찌개	강해준	2	12000	2022-09-26 05:32:00	
중식	짬뽕밥	강해준	2	11000	2022-09-26 05:32:23	
중식	잡채밥	강해준	3	16500	2022-09-26 05:32:36	
중식	쟁반짬뽕	강해준	2	10000	2022-09-26 05:34:18	
중식	짬뽕밥	강해준	3	16500	2022-09-26 05:34:28	
